country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","08-03-2025 22:00:00",28.530785,77.271255,NO2,54,159,103
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","08-03-2025 22:00:00",28.530785,77.271255,NH3,7,11,9
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","08-03-2025 22:00:00",28.530785,77.271255,SO2,10,34,21
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","08-03-2025 22:00:00",28.674045,77.131023,NH3,9,13,10
India,Delhi,Delhi,"Rohini, Delhi - DPCC","08-03-2025 22:00:00",28.732528,77.119920,PM2.5,33,355,197
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","08-03-2025 22:00:00",28.6514781,77.1473105,PM2.5,51,314,192
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","08-03-2025 22:00:00",28.6514781,77.1473105,NH3,10,12,11
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","08-03-2025 22:00:00",28.6514781,77.1473105,OZONE,14,85,44
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","08-03-2025 22:00:00",28.710508,77.249485,PM10,51,207,100
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","08-03-2025 22:00:00",28.498571,77.264840,CO,22,101,48
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","08-03-2025 22:00:00",28.5627763,77.1180053,NO2,63,120,90
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","08-03-2025 22:00:00",28.674045,77.131023,SO2,5,45,20
India,Delhi,Delhi,"Pusa, Delhi - IMD","08-03-2025 22:00:00",28.636110,77.173332,PM10,NA,NA,NA
India,Delhi,Delhi,"Pusa, Delhi - IMD","08-03-2025 22:00:00",28.636110,77.173332,NO2,NA,NA,NA
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","08-03-2025 22:00:00",28.563262,77.186937,PM2.5,37,382,164
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","08-03-2025 22:00:00",28.563262,77.186937,NO2,3,42,23
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","08-03-2025 22:00:00",28.563262,77.186937,NH3,2,4,4
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","08-03-2025 22:00:00",22.977134,72.553024,PM10,86,409,191
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","08-03-2025 22:00:00",23.002657,72.591912,NO2,NA,NA,NA
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","08-03-2025 22:00:00",23.80569,86.44268,CO,1,2,2
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","08-03-2025 22:00:00",15.888653,74.541751,OZONE,NA,NA,NA
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","08-03-2025 22:00:00",12.9135218,77.5950804,PM2.5,35,64,48
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","08-03-2025 22:00:00",12.951913,77.539784,NH3,2,2,2
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","08-03-2025 22:00:00",12.951913,77.539784,SO2,21,43,32
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","08-03-2025 22:00:00",13.029152,77.585901,PM10,95,164,122
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","08-03-2025 22:00:00",28.422681,77.148944,OZONE,12,143,104
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","08-03-2025 22:00:00",28.3153,76.9143,PM10,56,107,76
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","08-03-2025 22:00:00",28.3153,76.9143,SO2,1,20,10
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","08-03-2025 22:00:00",28.3153,76.9143,CO,82,99,90
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","08-03-2025 22:00:00",30.943887,76.801991,SO2,5,96,29
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","08-03-2025 22:00:00",30.943887,76.801991,OZONE,26,145,114
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","08-03-2025 22:00:00",13.029152,77.585901,SO2,7,16,12
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","08-03-2025 22:00:00",12.7816279,77.6299145,PM10,75,152,117
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","08-03-2025 22:00:00",13.003872,77.664217,PM10,92,428,165
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","08-03-2025 22:00:00",13.003872,77.664217,SO2,8,9,9
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","08-03-2025 22:00:00",13.003872,77.664217,CO,26,38,30
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","08-03-2025 22:00:00",13.0270199,77.494094,PM2.5,NA,NA,NA
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","08-03-2025 22:00:00",13.0270199,77.494094,NH3,3,4,3
